Accession	CC017_M_1	CC017_F_1	CC004_M_1	CC004_F_1	CC001_M_1	CC001_F_1	CC003_M_1	CC003_F_1	Pool_1	CC017_M_2	CC017_F_2	CC004_M_2	CC004_F_2	CC001_M_2	CC001_F_2	CC003_M_2	CC003_F_2	Pool_2	CC017_M_3	CC017_F_3	CC004_M_3	CC004_F_3	CC001_M_3	CC001_F_3	CC003_M_3	CC003_F_3	Pool_3
sp|Q9D2G2|ODO2_MOUSE	15758544	15581308	15237330	17383266	12955251	15726127	13217624	12260973	14696164	15603589	15395666	14227179	16417970	12608437	14951522	13536076	15662885	14696164	15736162	16852719	15401664	16701198	12043718	13247096	13814769	13030118	14696164
sp|O88569|ROA2_MOUSE	15637542	13987655	15914974	13400232	12960674	15399392	15110545	16317975	14788753	15120135	13112499	16676063	14507895	12999242	16229126	15695265	13885002	14788753	15489567	13194532	14855084	14020765	12535948	16322269	17130269	14775273	14788753
sp|P19536|COX5B_MOUSE	17284087	15573411	14768347	11856778	15702465	13915197	13824940	11460176	14342106	14196032	14540288	15491924	16825913	14766509	11013230	12604553	14979556	14342106	14924122	14685083	12966609	13205697	14437463	14727534	15031080	14967008	14342106
sp|P48678|LMNA_MOUSE	11413863	16229439	16426939	15911324	16059984	15229576	13317022	12128073	14682770	11090763	15243316	14932673	16054120	14631557	17582033	12424842	15680071	14682770	10722793	14623744	15837527	16830971	16459233	18823749	11271111	11342695	14682770
sp|Q91W43|GCSP_MOUSE	14857951	21885549	14046741	21690582	7967544	9368339	10781256	15538750	14468434	13217024	23430165	13366375	17424072	8462123	8241463	11332022	22596269	14468434	13879558	20053037	13474027	20554562	8296256	8947602	15112961	15939282	14468434
tr|Q8K154|Q8K154_MOUSE	13758991	17163014	12097092	16869989	14827657	16761238	9964468	11291846	14046027	14555562	13562431	12940358	17067100	15345410	15659902	10414155	13234927	14046027	13787427	18049645	11753760	15874941	14715170	12909381	12214169	11317229	14046027
sp|Q91WT9|CBS_MOUSE	18390634	13453087	18561926	13805039	11448190	12974021	13232760	14730970	14559836	18153997	16826394	18981876	12300913	11000772	12883916	10596935	16337625	14559836	21143870	13397689	18489650	12438980	12350893	14803018	11552692	11980019	14559836
sp|O55142|RL35A_MOUSE	15035730	13522142	13835658	13197844	12108471	14997873	16055767	16188279	14217132	15097801	12979091	13574446	12612611	14023927	15596782	16938365	12745031	14217132	14701627	16580207	12968372	13003321	13320903	13086359	13861962	17935960	14217132
sp|Q63886|UD11_MOUSE_family	9211249	11856783	16184532	24907182	14861643	11045146	9838073	11379320	14152519	7420115	17821488	14097173	21559798	16029502	11015559	7302170	17379828	14152519	7355246	12780917	16057241	23419380	17621587	13788345	9692625	10443643	14152519
sp|P50431|GLYC_MOUSE	12002847	17669587	15432773	18482877	14541619	12899121	11318304	11950317	14406468	12044600	16515131	13962743	17019393	14221365	13292483	11156189	17333796	14406468	10825322	16686337	14794934	18310657	15450444	14555779	11363941	11739271	14406468
sp|Q9Z2I0|LETM1_MOUSE	14845352	17257858	13521114	14769963	12868301	14514792	13244301	12025881	14026783	15193144	13731700	14587634	15448927	12109095	14233700	14143304	13566560	14026783	15092286	17695708	14147118	15154389	11770388	12593535	12891218	11647750	14026783
sp|P99027|RLA2_MOUSE	15295827	13980705	13011356	12250909	10684130	13481796	14033144	13645526	13137830	12447477	13748304	11941843	12827118	14304525	13088853	13422184	13410682	13137830	14056609	11764056	11692064	12565591	12060292	12743519	15962572	15771907	13137830
sp|P50285|FMO1_MOUSE	15719385	10067566	15761541	11965552	14564699	12845564	14769549	14367680	13876326	16560428	10525123	16178523	13391198	15328336	12180709	15011952	10514674	13876326	14793244	10654087	14162198	10751616	14475234	12717171	17997818	16961424	13876326
sp|Q3TXS7|PSMD1_MOUSE	14876551	13347491	13690399	13123809	12627193	13477326	15547678	16309432	14038797	15068426	13317062	14757272	13011203	12740113	13978449	16025577	13369126	14038797	14548413	13757409	13282882	13203884	12610733	13381415	15920300	16572433	14038797
sp|Q8BGQ7|SYAC_MOUSE	11960386	14022789	12479412	13778633	12705444	14699874	17714531	16280012	14071025	12381796	14462675	13448065	13248829	12726881	15409626	16826197	14177767	14071025	12818064	14549781	12498438	13819169	13893284	14716820	14748284	16281075	14071025
sp|Q8VDM4|PSMD2_MOUSE	14923748	13479730	14091157	12973537	12363654	14114541	15182781	15727244	14012809	15321648	13735502	14780855	13523902	12315201	14174212	15433955	13010132	14012809	14562227	13881620	14254832	12960057	13536559	13430532	14432951	16048220	14012809
sp|Q5SW19|CLU_MOUSE	15332838	12787163	13441578	12694813	11839608	13014825	14455457	17406849	13818420	15108133	14516395	14206605	12741966	12127364	12186108	15321551	14574292	13818420	15240735	12025927	13756381	12742845	11822097	14048058	15787199	16515014	13818420
sp|Q8CGK3|LONM_MOUSE	13659612	15015507	13120969	13641289	14092510	14422775	12073170	13303284	13616620	13707874	14257153	13708006	14367136	12223883	14920824	13055859	13542999	13616620	13609469	14978024	13460563	14327604	11957273	13687232	13817423	12776445	13616620
sp|Q9WU19|HAOX1_MOUSE	14467477	23840119	6037496	19733780	7151176	16102592	13006931	13748677	13723919	9931969	27154621	5464015	18914659	6314751	11191201	11434331	24369015	13723919	12426738	22463028	5497297	18564244	6345433	12095756	17021314	15087189	13723919
sp|P53026|RL10A_MOUSE	14760583	14335005	11612814	11986363	12562520	13030487	14343512	15833604	13465455	13304077	14876562	13334553	12939945	13451408	13178559	13602935	13281722	13465455	13944213	14220232	11864380	11535817	12888735	13811466	14831944	15388927	13465455
sp|Q9DC50|OCTC_MOUSE	9640289	16985934	11244907	15705856	12779841	14019441	14435851	15521636	13708263	7867316	17286308	10464498	17972221	15898049	14042761	9873853	16603253	13708263	7568929	16980607	12475542	16966439	16795878	11229216	12169960	14704082	13708263
sp|Q9QYG0|NDRG2_MOUSE	13345808	13792099	13860119	13433446	12470145	11997348	14042299	14901498	13489635	14330266	13287323	14175707	13224502	13578322	11941793	13420957	13571394	13489635	14165830	12799020	14883843	13342011	14233413	12356584	12692990	13832664	13489635
sp|P62717|RL18A_MOUSE	12533704	14256274	10936672	11044539	11276096	12426946	12636053	13604457	12174174	12078652	13150968	11204036	11161041	12456083	12202051	13710999	11725942	12174174	12666978	14235770	10333283	10375158	12074524	12137297	12053790	14393106	12174174
sp|P18760|COF1_MOUSE	13166438	12243035	13184836	11306630	12658556	15301207	15869254	15405145	13494299	14766117	10279211	13287338	11442525	13996956	17455138	14816326	11794699	13494299	13731579	11003147	13895835	11608169	13863377	14877984	14373257	15593203	13494299
sp|Q8VCW8|ACSF2_MOUSE	13676570	12943912	12841677	13711711	11502206	14605089	17181730	13333899	13552471	15042950	9791486	13388749	11354686	14050471	18052605	17066350	9748730	13552471	14658042	14446388	13731930	12716412	12910924	11926336	14823318	13175560	13552471
sp|Q91WS0|CISD1_MOUSE	14717423	11612643	13834842	12029518	12457683	10410114	10349274	10959838	12151347	13146672	11935231	14268438	12517358	12883120	11011990	9858155	11388009	12151347	13677931	10835952	13494636	12644734	12944601	11119327	11417979	10926574	12151347
sp|Q6NZJ6|IF4G1_MOUSE	12897089	15259509	11859230	12766225	11751880	13821992	15179460	15582297	13483658	13195143	13546264	13096825	12660047	11948129	15031994	15442278	13046107	13483658	13766054	13925664	12301420	12423294	12102909	14381227	14248494	15110493	13483658
sp|P62301|RS13_MOUSE	14130648	12189333	12491013	13226819	11719222	13970831	14469926	15324772	13317013	14545775	12249262	12210224	13058943	11949259	14616028	16006064	12424313	13317013	14352274	12253771	11802873	11758933	11616811	13847752	16445262	15761823	13317013
sp|Q60864|STIP1_MOUSE	13331272	14172023	13236784	13596393	13437744	14573301	12531064	13417582	13501070	12597227	13638707	15026789	13392688	11569200	14484245	14203157	13266956	13501070	13697553	13617867	13009511	13552336	12461939	14474776	13461781	13779012	13501070
sp|P42932|TCPQ_MOUSE	14594855	12229965	13382565	11591498	12943072	13928637	13892324	14952691	13366173	14813682	12070501	14048236	12132221	12457888	14285150	15061621	12099108	13366173	15169353	12002320	13460869	11500661	12469694	14597383	14084449	14665923	13366173
sp|Q9QXD1|ACOX2_MOUSE	22875610	6609178	17044266	7007452	8180964	11598010	15321048	17891416	13180919	24922440	9528128	17970086	7248307	10197429	10568310	14689602	9937491	13180919	24085160	7121141	16966011	6556217	10136023	11945105	15305241	16087737	13180919
sp|Q8QZS1|HIBCH_MOUSE	14295551	14646165	15395373	15676488	9453191	10172282	12369793	13132214	13165496	15829690	15989150	15864218	14784150	8022785	7380367	12274142	16041759	13165496	15494006	15679716	16239634	16385041	8258081	7232788	12676396	13808946	13165496
sp|Q9D0F3|LMAN1_MOUSE	12189754	13180051	9697906	12421247	10582632	13662149	18179000	17311178	13163137	13304175	11595296	10590328	12109238	12148420	13477094	19589764	12445355	13163137	13125465	14556552	9984778	11755820	12710736	12063966	15592350	17304617	13163137
